Mixture	blood_highCXCR4_plasmacell	blood_lowCXCR4_plasmacell	blood_end_plasmacell	tonsil_lowCD74_plasmacell	blood_cycling_plasmacell	tonsil_cycling_plasmacell	tonsil_highCD74_plasmacell	blood_plasmablast	P-value	Correlation	RMSE
MMRF_2737	0.249880105658408	0.0836353148212882	0.635406731429061	0.00642387109752212	0	0.0240998488663629	0.000554128127357568	0	0	0.982451030931631	0.889793485538057
MMRF_2739	0.35344944649405	0	0.0712917926256492	0	0.554766651820127	0	0.0204921090601741	0	0	0.895761652761864	0.453286561064565
MMRF_1865	0.32799586630109	0.219464576230823	0	0.281292388138408	0	0.0769795442232103	0	0.094267625106469	0	0.134238933116443	1.07382389968546
MMRF_2680	0.496664132951999	0.124387194179009	0.37320897018239	0	0	0	0.00339772459445325	0.00234197809214947	0	0.956243774734146	0.580237954133883
MMRF_2005	0.413535935059505	0	0.52483542380052	0	0.0440824921993558	0	0.0175461489406194	0	0	0.972808343794939	0.773895942653224
MMRF_2341	0.324070408062218	0.19298147044028	0.254015946616345	0	0	0.0721307470085368	0.0405615780538399	0.11623984981878	0	0.94712076202626	0.353428559516857
MMRF_2694	0.631308672636941	0.136289219583569	0	0.148182450711399	0.0573540278804556	0	0	0.0268656291876354	0	0.718439103225647	0.696161808283478
MMRF_1374	0.23197651502574	0.143162126543479	0.41265282885098	0.138466606517525	0	0.0737419230622767	0	0	0	0.960241123093184	0.492590024821238
MMRF_1880	0.491071414092108	0	0.431985043253005	0.0429037037572685	0.0292318118300806	0	0.00480802706753719	0	0	0.969815334739553	0.634714538586117
MMRF_2689	0.55757845995384	0	0.0602631852619666	0.252963007539936	0.120762260321931	0	0.00843308692232644	0	0	0.832236188361018	0.554799498645713
MMRF_1886	0.204115331232099	0.0729767263858591	0.631317567184263	0.05112302414891	0	0.0090139989468893	0	0.0314533521019805	0	0.972763831029973	0.866447319299187
