"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",930.50430710907,-0.121946472400699,1.52978489688963,-0.0797147838553263,0.93646410105659,0.999677995230459
"ENSG00000238009",6.56422970581483,-1.42632311763472,1.926408729703,-0.740405239886254,0.459054140323517,NA
"ENSG00000268903",7.24535596873251,0.672329469893121,1.7039817110991,0.394563782882067,0.693164846379478,NA
"ENSG00000241860",16.8190995733573,0.234436776320426,1.7757087897641,0.132024337364219,0.894965041810949,NA
"WASH9P",401.570066469544,0.774090740270585,1.44050261886684,0.537375448077643,0.591008299062715,0.999677995230459
"ENSG00000228463",26.0005381878037,0.0379786152746981,1.40913549334113,0.0269517129148801,0.978498247536502,0.999677995230459
"ENSG00000290385",106.751309597199,1.27832240209231,1.22617823026501,1.042525768718,0.297167984760982,0.999677995230459
"ENSG00000230021",784.559739770421,-0.546474181885106,0.898778867481975,-0.608018503390174,0.543175201837064,0.999677995230459
"LINC01128",275.38877589966,2.7002044022995,1.66355278859623,1.62315522585732,0.10455622645715,0.820281622262399
"FAM41C",1.08748335685509,0.142123409125796,1.91274910296595,0.0743032156728845,0.940769118370036,NA
"NOC2L",4105.12697267494,2.55337487541203,1.74796006160218,1.46077415125355,0.144077431773934,0.902181937316454
"KLHL17",132.768234268337,0.875067717410501,1.92731971489446,0.454033500849869,0.649804714692877,0.999677995230459
"PLEKHN1",285.954589505053,2.17755431692385,2.17677664198536,1.00035725986925,0.317137645887947,0.999677995230459
"ISG15",11494.6636897289,-0.0435490789400984,0.868579984511049,-0.0501382483095251,0.960012220309242,0.999677995230459
"C1orf159",237.213368318937,0.969178638452523,1.48323995297738,0.653419992164479,0.513485553651508,0.999677995230459
"SDF4",3633.41405142817,0.0180273348356494,1.48978691672987,0.0121006129354525,0.990345343376707,0.999677995230459
"B3GALT6",62.0452013337418,1.41310294664056,1.93375366353287,0.730756441882515,0.464927933538962,0.999677995230459
"UBE2J2",1913.01274980072,3.69207662237832,1.8213347393213,2.02712688813816,0.0426494377140604,0.558520023474249
"ACAP3",402.803224943024,-0.563672447578028,1.82347248061306,-0.309120347891688,0.757229981313655,0.999677995230459
"PUSL1",458.441334166586,0.591281215841196,1.51918638401353,0.389209133298768,0.69712144769302,0.999677995230459
"INTS11",2826.86708662127,0.16736576587534,1.62238457065033,0.10316035353335,0.917835705277448,0.999677995230459
"CPTP",415.132522106775,1.41889354343517,1.29647185317977,1.09442680144204,0.273767834643214,0.999677995230459
"DVL1",159.824215650908,3.12812712218027,1.94366640348638,1.6093950672653,0.107529983201769,0.828583892521768
"AURKAIP1",4032.16293130683,0.465106330219719,1.03305321008337,0.450224950350992,0.652548247453066,0.999677995230459
"CCNL2",1662.64906880803,1.42150332853196,1.08223144038623,1.31349291425562,0.189016907004708,0.956819847851444
"MRPL20-AS1",671.784834628617,2.24246810741807,2.09239540949429,1.07172291491504,0.283844505258683,0.999677995230459
"MRPL20",2679.35573742265,-1.27170212398732,1.05220447338099,-1.20860741059295,0.22681370801742,0.991567876198167
"ATAD3C",430.261814993908,-1.49761126502604,1.28823154716606,-1.16253267381985,0.245019160592279,0.999677995230459
"ATAD3B",1393.83447032202,-0.187958274081152,1.48096914726627,-0.126915725711171,0.899007099974914,0.999677995230459
"ENSG00000290916",4.91816338766658,-1.87913599147874,1.63469309848446,-1.14953442528197,0.250335680051531,NA
"ATAD3A",2317.31065058755,0.394722245412501,1.55226120606104,0.254288546200374,0.799272647854538,0.999677995230459
"SSU72",2888.32816160785,1.04670609238398,1.30167874680033,0.804120137135908,0.421327595870175,0.999677995230459
"ENSG00000272106",18.2012636922978,1.87473184596919,2.10675536885267,0.889866889002001,0.373537364897842,NA
"MIB2",346.669943093454,1.89163025902055,1.37383054559617,1.37690216969203,0.168542496319645,0.933991549341862
"CDK11B",517.692004358389,-0.614892717663802,0.854923172742916,-0.71923739731021,0.471994660840247,0.999677995230459
"SLC35E2B",592.594293376805,-2.42101758790876,1.29479085485299,-1.86981362961792,0.0615097029947712,0.668185924240701
"ENSG00000290854",54.6895756844837,-1.88805298314721,1.66576855470854,-1.13344256488115,0.257028447802293,0.999677995230459
"NADK",631.874044231895,-0.700812617790171,1.78375154073003,-0.392886902569037,0.694403015578526,0.999677995230459
"GNB1",2661.2326339953,-0.506747112958651,0.833079653419709,-0.608281706171198,0.543000652028613,0.999677995230459
"CFAP74",1.31714796563277,-2.22092939256578,2.010815834053,-1.10449169682997,0.269379903396342,NA
"PRKCZ",9.31969877021942,-0.847003715326026,1.88031282481634,-0.450458936485082,0.652379556802066,NA
"FAAP20",471.707174822062,0.153671142924689,1.69643151731869,0.0905849374736771,0.927822400875389,0.999677995230459
"SKI",48.2347365386282,0.638463251856549,2.41779865729735,0.264067998354434,0.791727522493194,0.999677995230459
"RER1",2969.40014840651,-0.57373322063213,1.4313555861983,-0.400832068679713,0.688543766726904,0.999677995230459
"PEX10",363.017756629725,0.615786486293204,1.57545027530968,0.390863803157585,0.695897910704456,0.999677995230459
"PANK4",1287.29195393143,2.64820843318956,1.81712582985564,1.45736106420321,0.145016738903654,0.903296787844138
"ENSG00000272449",85.0706415270382,6.41180123586854,2.67189749777164,2.39971826809074,0.0164076946235842,0.361156675131612
"TNFRSF14",757.446368524238,0.525087552651352,1.94150966582602,0.270453226112553,0.786811596623804,0.999677995230459
"PRXL2B",475.175531017242,0.46753053157844,1.39435737880497,0.335301794708567,0.737397440034438,0.999677995230459
"TPRG1L",156.455581456184,3.87352505743091,1.83930206382874,2.10597548581426,0.035206481808947,0.512001446086191
"WRAP73",714.633190772545,0.112706612227481,1.60496497994754,0.0702237205394754,0.94401559466781,0.999677995230459
"LRRC47",609.927148000856,-0.159244220876623,1.63783419920582,-0.0972285356807427,0.922544907200167,0.999677995230459
"CEP104",592.907181778654,-0.960827838537826,1.82109488944672,-0.52760998018601,0.597770064623438,0.999677995230459
"DFFB",126.058759271414,-0.629104225483279,1.63763774655272,-0.38415347155228,0.70086470166816,0.999677995230459
"C1orf174",439.755938333609,1.1870654446583,1.85653720527233,0.639397606084696,0.522564305924865,0.999677995230459
"NPHP4",218.363409160849,-2.77793895654162,1.69887352416899,-1.63516525334071,0.102014409989618,0.816272497466086
"KCNAB2",1372.12099843714,1.8441591357643,1.52496373743559,1.20931343512828,0.226542451211795,0.991567876198167
"ICMT",377.340686061991,2.59939145537812,1.57133406985766,1.65425768157219,0.0980751674061934,0.801973646776156
"ACOT7",2701.51180182129,-0.126869508561557,1.15631467947957,-0.109718842814188,0.912632356233088,0.999677995230459
"NOL9",360.364357401998,-0.10802069394868,1.6125426454171,-0.066987806031474,0.946591410771939,0.999677995230459
"ZBTB48",215.458650649471,1.94851030906387,2.09909749819626,0.928260983941056,0.353272207382558,0.999677995230459
