"","x"
"1","AL627309.1"
"2","AL627309.5"
"3","AP006222.2"
"4","LINC01409"
"5","LINC01128"
"6","LINC00115"
"7","FAM41C"
"8","AL645608.2"
"9","SAMD11"
"10","NOC2L"
"11","KLHL17"
"12","PLEKHN1"
"13","ISG15"
"14","AGRN"
"15","C1orf159"
"16","TNFRSF18"
"17","TNFRSF4"
"18","SDF4"
"19","B3GALT6"
"20","C1QTNF12"
"21","UBE2J2"
"22","LINC01786"
"23","SCNN1D"
"24","ACAP3"
"25","PUSL1"
"26","INTS11"
"27","CPTP"
"28","TAS1R3"
"29","DVL1"
"30","AURKAIP1"
"31","CCNL2"
"32","MRPL20.AS1"
"33","MRPL20"
"34","AL391244.2"
"35","VWA1"
"36","ATAD3C"
"37","ATAD3B"
"38","ATAD3A"
"39","SSU72"
"40","AL645728.1"
"41","AL691432.2"
"42","MIB2"
"43","MMP23B"
"44","CDK11B"
"45","FO704657.1"
"46","SLC35E2B"
"47","CDK11A"
"48","SLC35E2A"
"49","NADK"
"50","GNB1"
"51","AL109917.1"
"52","TMEM52"
"53","CFAP74"
"54","PRKCZ"
"55","AL590822.2"
"56","FAAP20"
"57","SKI"
"58","AL590822.3"
"59","MORN1"
"60","AL513477.2"
"61","RER1"
"62","PEX10"
"63","PLCH2"
"64","PANK4"
"65","AL139246.5"
"66","TNFRSF14.AS1"
"67","TNFRSF14"
"68","AL139246.3"
"69","PRXL2B"
"70","TTC34"
"71","AL513320.1"
"72","TPRG1L"
"73","WRAP73"
"74","TP73"
"75","AL136528.1"
"76","SMIM1"
"77","LRRC47"
"78","CEP104"
"79","DFFB"
"80","C1orf174"
"81","LINC01134"
"82","AL805961.1"
"83","NPHP4"
"84","KCNAB2"
"85","RPL22"
"86","AL031847.1"
"87","RNF207"
"88","ICMT"
"89","LINC00337"
"90","ACOT7"
"91","AL031848.2"
"92","HES2"
"93","TNFRSF25"
"94","PLEKHG5"
"95","NOL9"
"96","TAS1R1"
"97","ZBTB48"
"98","KLHL21"
"99","PHF13"
"100","THAP3"
"101","DNAJC11"
"102","LINC01672"
"103","AL591163.1"
"104","CAMTA1.DT"
"105","CAMTA1"
"106","VAMP3"
"107","PER3"
"108","Z98884.1"
"109","TNFRSF9"
"110","PARK7"
"111","AL034417.4"
"112","AL034417.3"
"113","ERRFI1"
"114","RERE"
"115","RERE.AS1"
"116","ENO1"
"117","ENO1.AS1"
"118","SLC2A5"
"119","GPR157"
"120","LNCTAM34A"
"121","H6PD"
"122","SPSB1"
"123","LINC02606"
"124","SLC25A33"
"125","TMEM201"
"126","PIK3CD"
"127","PIK3CD.AS2"
"128","CLSTN1"
"129","CTNNBIP1"
"130","LZIC"
"131","AL357140.2"
"132","NMNAT1"
"133","RBP7"
"134","UBE4B"
"135","KIF1B"
"136","AL139424.3"
"137","AL139424.2"
"138","PGD"
"139","CENPS"
"140","CORT"
"141","DFFA"
"142","PEX14"
"143","TARDBP"
"144","AL109811.2"
"145","SRM"
"146","EXOSC10"
"147","AL109811.1"
"148","EXOSC10.AS1"
"149","MTOR"
"150","UBIAD1"
"151","AL031731.1"
"152","FBXO2"
"153","FBXO44"
"154","FBXO6"
"155","MAD2L2"
"156","DRAXIN"
"157","AGTRAP"
"158","C1orf167"
"159","MTHFR"
"160","CLCN6"
"161","AL021155.5"
"162","KIAA2013"
"163","PLOD1"
"164","MFN2"
"165","MIIP"
"166","TNFRSF1B"
"167","VPS13D"
"168","PRDM2"
"169","TMEM51"
"170","FHAD1"
"171","EFHD2"
"172","CASP9"
"173","DNAJC16"
"174","AGMAT"
"175","AL121992.1"
"176","DDI2"
"177","PLEKHM2"
"178","FBLIM1"
"179","UQCRHL"
"180","AL450998.2"
"181","SPEN"
"182","ZBTB17"
"183","ARHGEF19"
"184","AL109627.1"
"185","CPLANE2"
"186","FBXO42"
"187","SZRD1"
"188","SPATA21"
"189","NECAP2"
"190","LINC01772"
"191","AL137802.2"
"192","NBPF1"
"193","CROCC"
"194","BX284668.5"
"195","BX284668.6"
"196","ATP13A2"
"197","SDHB"
"198","PADI4"
"199","RCC2"
"200","ARHGEF10L"
"201","ALDH4A1"
"202","IFFO2"
"203","UBR4"
"204","EMC1.AS1"
"205","EMC1"
"206","MRTO4"
"207","AKR7A2"
"208","SLC66A1"
"209","CAPZB"
"210","MICOS10"
"211","TMCO4"
"212","OTUD3"
"213","PLA2G2D"
"214","UBXN10.AS1"
"215","UBXN10"
"216","MUL1"
"217","CDA"
"218","PINK1"
"219","PINK1.AS"
"220","DDOST"
"221","HP1BP3"
"222","EIF4G3"
"223","AL031005.2"
"224","ECE1"
"225","AL031728.1"
"226","NBPF3"
"227","USP48"
"228","LDLRAD2"
"229","HSPG2"
"230","LINC01635"
"231","LINC00339"
"232","CDC42"
"233","CDC42.AS1"
"234","CDC42.IT1"
"235","WNT4"
"236","AL445253.1"
"237","ZBTB40"
"238","C1QA"
"239","C1QB"
"240","KDM1A"
"241","LUZP1"
"242","LINC01355"
"243","AL109936.6"
"244","HNRNPR"
"245","ZNF436"
"246","ZNF436.AS1"
"247","TCEA3"
"248","ASAP3"
"249","E2F2"
"250","ID3"
"251","MDS2"
"252","RPL11"
"253","ELOA.AS1"
"254","ELOA"
"255","PITHD1"
"256","LYPLA2"
"257","GALE"
"258","HMGCL"
"259","FUCA1"
"260","CNR2"
"261","PNRC2"
"262","SRSF10"
"263","IFNLR1"
"264","STPG1"
"265","NIPAL3"
"266","RCAN3AS"
"267","RCAN3"
"268","NCMAP.DT"
"269","NCMAP"
"270","SRRM1"
"271","CLIC4"
"272","RUNX3"
"273","SYF2"
"274","AL031432.4"
"275","RSRP1"
"276","AL031432.3"
"277","RHD"
