NAME	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like
ABCA1	1	1	1	1	1	1	398.53052735487	540.142778118356
ABCB8	1	1	15.355434970687	33.3518178127868	1	1	1	1
ABCB9	75.7723416669014	1	1	1	1	49.5229995124292	1	1
ABCC1	1	1	1	1	1	1	88.2908402247378	147.189279888784
ABCF2	1	1	26.0498746535957	1	1	17.8826459857277	1	1
ABCG1	1	1	1	1	1	1	116.994686152804	150.118516782393
ABHD15	1	1	1	1	1	1	77.9559404476736	102.835757247891
ABHD15.AS1	1	1	1	1	1	1	71.2218603524114	94.6311917694649
ABHD17B	1	1	1	1	1	1	192.761250397406	264.477671338967
ABHD18	1	1	1	1	1	1	84.5021300193476	65.5524383955896
ABL1	1	1	1	1	1	1	111.55049969213	96.7319962785322
AC006058.1	1	31.7687068230003	1	12.2701921767746	1	1	1	1
AC007163.1	1	1	1	1	1	1	69.7687491276176	97.2638672028288
AC007569.1	1	1	1	1	1	1	89.5661533021431	104.039988588486
AC008691.1	1	1	1	1	1	1	119.023502038479	131.899312017533
AC008696.2	1	1	1	1	1	1	285.911572921141	381.035222162597
AC011447.3	1	1	1	39.2687700679528	1	1	1	31.1268898714102
AC012146.1	1	22.8221771292983	34.7180403806968	1	1	25.2239541970101	1	1
AC016168.2	1	1	1	1	1	1	326.083877144848	382.549339112952
AC018695.9	1	1	1	1	1	1	121.867106279639	117.190509610778
AC025437.3	1	1	1	1	1	1	96.8944619129572	135.059189790946
AC025437.4	1	1	1	1	1	1	117.60412858209	154.840117085162
AC025887.2	1	1	1	1	1	1	99.7194994648687	183.908141110735
AC026369.3	71.4668351427283	1	1	1	1	94.7753727266744	1	1
AC027097.2	1	1	1	34.124180290833	1	1	237.673817532981	284.22729382172
AC068282.1	1	1	1	1	1	1	93.1166855283805	80.7350255497044
AC074032.1	1	1	1	1	1	1	88.9905971790293	111.266374729308
AC079781.5	1	1	1	1	1	1	98.8327429998712	121.349828946369
AC079793.1	1	1	1	1	1	1	204.128427242352	266.852320552562
AC093865.1	1	1	1	1	1	1	122.760900530079	137.442748180482
AC105285.1	1	1	1	1	1	1	56.6104465059286	112.776657923956
AC105402.3	1	1	1	214.218395541352	1	1	1180.6172616184	1377.8850565313
AC106897.1	19.4657749314542	1	1	1	1	23.2823347804532	1	1
AC108879.1	1	1	1	1	1	1	248.506116520643	367.268741597521
AC119396.1	1	1	1	80.4800866197913	1	1	332.97952227666	349.394333022776
AC119673.2	1	1	1	1	1	1	289.935083836763	441.218146335889
AC128687.3	1	1	1	1	1	1	91.324128680662	111.613270654027
AC233755.2	90.7376316995167	1	1	1	108.32722017867	1	1	1
AC245060.5	1	1	1	1	1	1	98.7785343271845	123.819394792137
ACAT2	1	1	28.0545927100574	27.990596399639	1	1	1	1
ACSM1	1	1	1	1	1	1	529.360495076823	738.278497997246
ACSM3	1	1	1	69.8827417371526	1	1	3407.56932025643	4804.00972194276
ACSS1	1	1	1	1	1	1	92.4006308978223	88.1198446714934
ACYP1	1	1	39.8900055288805	52.002498136141	1	1	1	1
ADAM23	1	1	1	1	1	1	697.496108154384	720.554379095241
ADARB1	1	1	1	77.1494269790544	1	1	392.128284776385	434.262820624894
AEBP1	1	1	1	1	1	1	101.91795387052	128.53314050294
AFF3	1	1	1	663.334055164928	1	1	7681.74271516979	9187.50235524479
AHCYL2	1	1	1	1	1	1	130.255640361177	116.15583014744
AHDC1	1	1	1	1	1	1	86.4250206881438	140.188508582881
AIFM1	1	1	25.0126052710745	1	1	20.9372521161467	1	1
AK9	1	1	1	1	1	1	126.230541631417	149.764855601837
AKAP12	1	1	1	1	1	1	180.284110206912	254.460883827938
AKT3	1	1	1	71.6393863639036	1	1	357.86223266737	541.096258448684
AL050309.1	1	1	1	46.6896561874327	1	33.9798765081844	500.331642486643	629.369098216921
AL132996.1	1	1	1	1	1	1	307.248560196588	513.106543200861
AL133346.1	1	1	1	1	1	1	62.2788085148574	93.4478635797943
AL133480.1	1	1	1	1	1	1	163.16767914223	96.6454163710606
AL139020.1	1	1	1	77.1494269790544	1	1	507.255763472331	422.0268468172
AL139340.1	1	1	1	1	1	1	86.7703393876528	73.1841241079635
AL445524.1	1	1	27.8870238900222	1	1	23.2352216205847	1	1
AL589693.1	166.977729226034	1	1	1	1	169.438242750003	2849.62314504858	4315.89854261863
ALKBH2	1	1	24.2490759361805	1	1	20.7083245494609	1	1
AMBRA1	1	1	1	1	1	1	174.168091128114	131.228850722224
AMFR	1	1	1	1	1	1	103.227925218751	92.3721536964989
ANGEL2	1	1	1	1	1	18.650612121722	21.1499900190554	1
ANKH	1	1	20.8805205348733	1	1	1	23.4442424445963	1
ANKRD33B	1	1	1	1	1	1	256.147018798091	390.653601860288
ANKRD36C	1	1	24.4896877113868	24.1734940274008	1	1	1	1
ANKRD39	1	1	32.552637643234	22.7975549476414	1	22.6694256427206	1	1
ANKUB1	1	1	1	1	1	1	224.598705535434	312.515904237486
ANKZF1	1	1	1	32.6035381706927	1	16.9536936649319	1	1
ANLN	1	1	32.7308972273323	56.4316847380885	1	1	1	1
ANTXR2	1	1	1	1	1	1	117.828727235222	99.3912187177812
AOPEP	1	1	1	1	1	1	93.1029069737983	126.048471219732
AP001011.1	1	1	1	1	1	1	174.174687733666	154.06655087854
AP003086.1	1	1	1	1	1	1	181.307494285153	251.029397002967
AP1B1	1	1	1	1	1	1	146.012751072153	155.913623004254
AP4S1	1	1	1	1	1	1	44.0125008384323	93.8718980571681
APBB1IP	1	1	82.7797680429676	107.609197770676	1	30.2744471446483	1051.22272892016	1241.00877266428
APBB2	1	1	1	1	1	1	138.982920972831	148.847076612455
APEH	1	1	24.5565317236742	1	1	26.7412113291711	1	1
APOOL	1	1	25.6159627806893	1	1	1	40.0611053711688	1
APPBP2	1	1	1	1	1	1	81.1005310683669	71.8487582417914
APPL2	1	1	1	1	1	1	88.454532683462	96.8866771458852
ARAP2	1	1	1	1	1	1	105.384139493297	122.571634128713
ARFRP1	1	1	18.6228575908845	1	1	1	21.4799197349033	1
ARHGAP11A	1	1	32.2757569668292	97.6198691452391	1	1	1	1
ARHGAP17	1	1	1	1	1	1	217.13893212429	204.547125628473
ARHGAP24	1	1	1	1	1	1	63.2572598962141	92.0329565071324
ARHGAP26	1	1	1	1	1	1	130.64679776952	111.863138606617
ARHGAP32	1	1	1	1	1	1	187.905819909307	239.514746914158
ARHGAP35	1	1	1	1	1	1	84.077324332753	78.796541622503
ARHGEF18	1	1	41.1089234940313	144.064155915624	1	1	582.142939979018	606.602049221155
ARHGEF6	1	1	1	1	1	1	81.3540071534871	70.9872401836196
ARL15	1	1	1	1	1	1	353.558124505921	392.428107678619
ARL4C	1	1	32.9891754341989	1	1	32.7353542140498	1	1
ARL6IP6	1	1	27.4411145877267	1	1	1	27.4733229727649	1
ARMC6	1	1	15.5996790589011	30.7303569249712	1	1	1	1
ARMCX6	1	1	20.6782563137239	1	1	22.7887260875578	1	1
ARNT	1	1	1	1	1	1	92.0685863559381	51.871102483556
ARPP21	1	1	1	1	1	1	470.678409747594	892.74498236929
ASF1A	1	1	15.1755779108967	23.2669374109316	1	1	1	1
ASNSD1	1	1	16.0027580671762	28.0570231599671	1	1	1	1
ASPM	1	1	178.570996075444	564.788495516313	1	1	1	1
ASRGL1	1	1	34.4652860805553	54.4986554637638	1	1	1	1
ASS1	1	1	28.6007287706949	1	1	35.7745973092414	1	1
ATAD2	1	1	107.933542473044	109.289096192257	1	1	31.9831504541598	1
ATAD2B	1	1	1	1	1	1	210.575050727204	234.48832947643
ATAD5	1	1	51.4518321973352	46.6931299940448	1	1	1	1
ATG4B	1	1	1	1	1	1	53.1810074004329	102.383728797977
ATG4D	1	1	14.0713285198661	1	1	1	25.7820479184649	1
ATG7	1	1	1	56.8557256214026	1	1	124.614209442927	187.724706407285
ATP11C	1	1	1	1	1	1	79.4738243438981	107.470993368104
ATP2B4	1	1	20.1420468070834	51.7548301589599	1	1	1	1
ATP8A1	1	1	1	61.9195415832436	1	1	757.440066910387	887.32097204057
ATP8B1	1	1	1	1	1	1	270.636642652399	267.406047011749
ATP9B	1	1	1	1	1	1	133.869295496277	200.185034421971
ATRN	1	1	1	1	1	1	85.6666554159109	98.3729286732524
AURKA	1	1	37.9261000628726	70.6380421169244	1	1	1	1
AURKB	1	1	43.0782054188409	59.9582441486494	1	1	1	1
AUTS2	1	1	1	168.528739353919	1	1	863.966866524862	1051.30921461763
AVL9	1	1	1	41.390127828437	1	1	135.704584069621	130.311914156347
