Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
MMRF_2737	0.700378497321274	0.0804853314095391	0.0750179375172617	0	0.132937587233121	0	0.0111806465188044	0	0	0.130920361071336	1.00566631682386
MMRF_2739	0	0	0.862372698223206	0.1203174343205	0	0.0173098674562939	0	0	0	0.426940033602148	0.935770325415511
MMRF_1865	0.547588237395868	0.000539289983916754	0	0.00582292536380279	0.304612850288198	0.124315187792252	0.0171215091759631	0	0	0.444046514479807	0.988186669552387
MMRF_2680	0.248097643759238	0.298218576924522	0.0380529350373338	0	0.224595530444323	0.167091433768682	0.0239438800659008	0	0	0.12011133870922	1.00576573632533
MMRF_2005	0.455687959379013	0	0.0120789640002809	0	0.489844321131746	0	0.0423887554889609	0	0	0.26654829444848	0.99127657557178
MMRF_2341	0.387567860352445	0	0.0145009403159749	0	0.44086014941688	0.120904204896559	0.0361668450181414	0	0	0.276379291303146	0.992524631886361
MMRF_2694	0.0693815702816807	0.290334831201645	0.0584431845824857	0	0.121427206359747	0.420909764067538	0.0395034435069027	0	0.09	0.0414338977818187	1.00882855161433
MMRF_1374	0	0.373355946390692	0.0517619202847376	0.0861428987950113	0	0.488739234529559	0	0	0	0.158986932200247	1.00262936115797
MMRF_1880	0.159504647908497	0.251530904108202	0	0	0.191789558129242	0.387738058151922	0	0.00943683170213662	0	0.159911596727283	1.00589655554329
MMRF_2689	0.527132925171802	0.190139257831372	0	0	0.0934002431124378	0.168405724392462	0.0209218494919259	0	0.01	0.10027551535604	1.00718497664684
MMRF_1886	0.35013299021468	0.0177099889786447	0.0595319724480269	0.0415941112838211	0.454740633061768	0.0733171933098931	0.00297311070316596	0	0	0.325549041535436	0.995801536099841
MMRF_2087	0.142286517356434	0.261500860434401	0	0	0.399291489274882	0.158050274594137	0.0388708583401449	0	0.04	0.0695802152128521	1.00786034661976
MMRF_1184	0	0.167462915403771	0.185298808034099	0	0.0111309424095599	0.632816187699726	0.00329114645284475	0	0	0.18558255176657	1.00026521392045
MMRF_2173	0.267257596331358	0.145487568845604	0.0468109648324265	0	0.439099294991788	0.0998481602464996	0.00149641475232404	0	0	0.411375792232322	0.9967611184847
MMRF_1851	0.623566288457879	0	0.351274348213723	0.00857720829214875	0	0	0.016582155036249	0	0	0.32540432404578	0.982253649456832
MMRF_2721	0.529594233150719	0.10116270097933	0.102768522810395	0	0.256328771166481	0	0.0101457718930747	0	0	0.147193050162613	1.00497416256802
MMRF_2772	0.542257685991737	0.067005705286428	0.0116848512230374	0	0.319247906535586	0	0.0598038509632114	0	0	0.178249407193972	0.995122370637474
MMRF_1450	0.0790040533716246	0	0.265165856096473	0.1906474404829	0	0.465182650049002	0	0	0	0.211439201474704	0.988306777033651
MMRF_2601	0.441552993921	0.0484268258048422	0.0544582449300451	0	0	0.450738623545192	0.0048233117989207	0	0	0.131896578987547	1.00578454012852
MMRF_2531	0	0.0528095130164227	0.40319560329341	0.0315478674100443	0	0.507159991612813	0.00528702466731044	0	0.02	0.0913315417898071	1.00359158847464
MMRF_2271	0.116414684638569	0.189830906305053	0	0.035524300212257	0.137787959047168	0.517296436170246	0.00314571362670648	0	0	0.162949181996333	1.0051695818683
MMRF_1383	0	0.327804958167879	0	0	0	0.658161771308029	0.0140332705240926	0	0	0.128868417060995	1.00603269724716
MMRF_2789	0.445893502060633	0.131429203891217	0	0.000474950896344301	0.204673741489744	0.196783566809387	0.0207450348526744	0	0.01	0.104494447992099	1.00707301033699
MMRF_2225	0.144336927241628	0	0.47804236332288	0.0335837534195154	0.0578909802497327	0.244083564388354	0.0420624113778898	0	0	0.12670565909506	0.997205532015536
MMRF_1510	0.386757185649571	0	0.0178595245450248	0	0	0.589024158625904	0.00635913117949965	0	0	0.162255845120215	1.00414052494216
MMRF_2367	0.02566409613694	0.218773555138041	0.219656144352563	0	0.249576059458784	0.267372862451084	0.0189572824625892	0	0	0.206954005172722	0.997386002079369
MMRF_1373	0.362505373984247	0.0469891123599179	0.113973466929394	0	0.37636880905102	0.0841937190348938	0.0159695186405272	0	0	0.318073609091765	0.994327242974555
MMRF_1624	0	0.227233744303887	0.0172528698520257	0.0440532165386763	0.218642965312145	0.492817203993266	0	0	0	0.11989962745977	1.0071451423729
MMRF_2140	0.505245609383121	0.000170656522865697	0	0.00315188254143431	0.344625746039147	0.137217125439893	0.00958898007353941	0	0	0.515787260250379	0.988193826254244
MMRF_2216	0.350926207711767	0.127435028464364	0.00526706111999007	0.00515332419306405	0.293106412277042	0.213090404119781	0.00502156211399294	0	0	0.261078272813853	1.00241983310026
MMRF_1461	0	0.434546802397231	0.252592751072933	0.00625949060806284	0	0.306600955921773	0	0	0.01	0.102785759613887	1.00544294412764
