Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
MMRF_1110	0.274535810025474	0	0.0606790601137421	0	0.223317344222295	0.402521828154206	0.0389459574842826	0	0	0.188753581917098	0.997111845067039
MMRF_1205	0.274065969890741	0.25503240373274	0.0505644509613381	0.0294513688887162	0.333544925281887	0.040600017694611	0.0167408635499664	0	0	0.124519038815234	1.00579019363107
MMRF_2011	0.237124501457876	0.075105432847328	0.0562369985192355	0	0.513954392049488	0.0484129215094739	0.0691657536165985	0	0.01	0.0880206217251307	1.00452000774935
MMRF_1285	0	0.118767339127718	0.115229048801249	0	0.0860885979196553	0.667184504008774	0.0127305101426033	0	0.01	0.0892461829781632	1.00650851056183
MMRF_1079	0.188430462741277	0	0.333271747311996	0	0.0761375790704528	0.34282967483904	0.0593305360372342	0	0.01	0.0860047663547499	1.00266003009428
MMRF_1686	0.236177497375715	0.195764116543219	0.0273099887172391	0	0.328812457706033	0.193363257555636	0.0185726821021582	0	0	0.158997177656054	1.00479457243958
MMRF_1193	0	0.301535657255014	0.124293637326873	0	0.158154822096077	0.405103190412873	0.0109126929091633	0	0	0.186581072837454	1.00210729119575
MMRF_1671	0.302998057266536	0	0.0858763083010383	0.00679909054171138	0.330041172872054	0.230981052196727	0.0433043188219337	0	0	0.194097246466694	0.995590082539229
MMRF_1650	0.454534713348673	0.0127384322888782	0.0192785453673219	0	0.461568022281798	0	0.0518802867133289	0	0	0.223198416094324	0.992283654137185
MMRF_1462	0.0928984147711604	0.30124544312794	0.267263600688013	0	0.223553491628304	0.103563373736928	0.0114756760476548	0	0	0.282880790726195	0.991946132345904
MMRF_2089	0.0300047882961005	0.175263832492028	0.683116589578098	0.0781519151637788	0	0.0303328653323575	0	0.00313000913763762	0	0.438596843859001	0.946442544714747
MMRF_2089.1	0	0.227751491334366	0.589836403803717	0.095639494863093	0	0.0757309036918518	0	0.0110417063069726	0	0.352958701517433	0.962607612399969
MMRF_1229	0.177601372037706	0.291949738245864	0.0380781354649047	0.023344267476029	0.203847420109854	0.260672340574366	0.00450672609127543	0	0.01	0.095348434367393	1.00860334545939
MMRF_1193.1	0.219446393931741	0.125992197738501	0.0529299943096467	0	0.28105950968027	0.28340141313688	0.0371704912029614	0	0.04	0.0656862521627806	1.00742346571832
MMRF_2373	0.0136551830669186	0	0.772203540240565	0.0934067362698892	0	0.120734540422627	0	0	0	0.345982965796796	0.957760909096186
MMRF_1157	0.413637808448918	0	0.0618040548716587	0.0398013780169338	0.48475675866249	0	0	0	0	0.397380363222075	0.992200995318403
MMRF_1085	0.414925031433435	0.00546235457925809	0.358981275249525	0.0268465734259449	0.0446453991205969	0.149139366191241	0	0	0	0.15183273518873	0.99916056398244
MMRF_1061	0.345289016462775	0.081704545680943	0.03597525047759	0	0.498348004733018	0	0.0386831826456746	0	0	0.224991536293967	0.995893049065112
MMRF_1219	0.487810390907246	0.0991223519941402	0	0.0196104463721518	0.287712941402117	0.0210355109102978	0.0847083584140472	0	0.07	0.0575232818486175	1.00953188651201
MMRF_1462.1	0.128546354940869	0.352051904899149	0.302916078354052	0	0.0728287256150154	0.126056798767454	0.0176001374234602	0	0	0.27103432546964	0.990326517257476
