Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
p1	0	0.507650666238858	0.142430961320391	0	0.100230220729183	0.215127086360892	0.0345610653506755	0	0	0.124676430040539	1.00157793692136
p2	0.146922024074055	0.167067820942124	0.0152109323606759	0	0.189134970998931	0.456301462211018	0.0253627894131967	0	0	0.207330786492506	0.999113568100795
p3	0.575023181927119	0.0928539398399042	0	0.00459185202244534	0.309463813519225	0.013334164780632	0.00473304791067477	0	0	0.52376633448894	0.985708941959224
p4	0.336932960559094	0.140856014284503	0.0197003874821004	0	0.0804610188961901	0.410916548763895	0.0111330700142178	0	0	0.261997899273041	0.998481861711344
p5	0.336056973683855	0.117440608449197	0	0.015004863310122	0.291583645136021	0.224567540464445	0.0153463689563613	0	0	0.35890664762173	0.991931868471489
p6	0.0829003224397898	0.260753061227058	0	0	0.117274298365955	0.509208619219212	0.0298636987479849	0	0	0.0969682789638119	1.00600223240904
p7	0.167801939568328	0.00234170983372033	0.483469787215062	0.13398481271411	0	0.204395554276145	0	0.00800619639263416	0	0.362539713465467	0.947262139395825
p8	0.719399346614295	0	0	0.0310871555780733	0.0324812633749148	0.199924335064949	0.017107899367768	0	0	0.477879942781375	0.97960202095874
p9	0.387617927550907	0.0582299727768002	0	0.018319386608775	0.390557212522745	0.106513265319504	0.0387622352212692	0	0	0.256357579877097	0.991616031569151
p10	0.489719327643522	0.251840205554962	0.0180563009212654	0	0.051882207467003	0.176446947784944	0.0120550106283037	0	0	0.220240750700895	1.00138081632916
p11	0.173592844405332	0.525716492747278	0.102241987474106	0	0.112485276708197	0.0618777188971718	0.0240856797679158	0	0	0.255505297996756	0.993609766648445
p12	0.1825220885399	0.172585746634021	0.00964893305067627	0	0	0.618046849723485	0.0171963820519177	0	0	0.208221421234273	1.00037715777137
p13	0.573277759818054	0.114125278062503	0	0	0.204249080437759	0.0685466943697577	0.0398011873119264	0	0	0.291948049934524	0.989349838323368
p14	0.361816282365913	0	0.00990705261400694	0.0351549346708754	0.460072254185607	0.129886480045014	0.00316299611858367	0	0	0.360647951210582	0.990568201874448
p15	0.277216999930235	0.142767495218643	0.0548731561882634	0.0104678533327185	0.332642074220758	0.179235271864516	0.00279714924486549	0	0	0.163696505105502	1.00367800120938
p16	0.207069966998839	0.205881413436486	0	0	0.141043029106517	0.424112735028741	0.0218928554294168	0	0	0.185291253317995	1.00179530191064
p17	0.147192233180046	0.166619226714752	0.0591002293099254	0	0	0.612595894381392	0.0144924164138849	0	0	0.233414638210991	0.997368704599075
p18	0.651183781778115	0.0321306841391734	0	0.0115426517853546	0.037537453131577	0.251799509150416	0.0158059200153644	0	0	0.404422202228274	0.987667702468602
p19	0.0395620503624648	0.446898915538931	0	0	0	0.496001411693863	0.0175376224047414	0	0	0.0869627739592632	1.00797772887417
p20	0.394361171051108	0.0902873304558746	0.103170990803641	0	0	0.378074836054849	0.0341056716345268	0	0	0.211480800968096	0.994141019694972
p21	0.326330280419664	0.325133343405809	0.0507007565376225	0	0.0086736474419238	0.267823772707406	0.0213381994875743	0	0	0.132193585523925	1.00421798693717
p22	0.238148607413469	0.183327684610672	0	0	0.154329089035355	0.404385176737399	0.0198094422031043	0	0	0.195543691076505	1.00159656879627
p23	0	0.224748541558811	0.0537162054455698	0	0.139786619187806	0.556675013376056	0.0250736204317579	0	0	0.223327717878929	0.996463701700177
p24	0.308370728491794	0	0	0	0.341890256891106	0.324003236257961	0.0257357783591399	0	0.02	0.0646426763878406	1.00883571092507
p25	0.453618414135289	0.153513836880646	0	0	0.0845140201238032	0.297860434446704	0.0104932944135576	0	0	0.176506219040121	1.00411340354139
p26	0	0.0802489406082789	0.014800716572288	0	0.199048159462108	0.691583310504536	0.014318872852789	0	0	0.169641874971091	1.00260069905501
p27	0.11401100285343	0.137295670609288	0.341679981221843	0.041937832800258	0.325696707179907	0.0158204342073872	0.0235583711278874	0	0	0.326669380883122	0.96751091593313
p28	0.36590134114072	0.0893528981045744	0	0	0.0210031134405929	0.501191044288791	0.0225516030253216	0	0	0.175553488076384	1.00164659511487
p29	0.216781968792146	0.177029246703299	0	0	0.185827136534492	0.382661049489339	0.0377005984807239	0	0	0.115105740115725	1.00399921049132
p30	0.12852995735155	0.255934274418273	0.182381904061604	0	0	0.422498694197549	0.0106551699710247	0	0	0.199821971817255	0.995727534016738
p31	0.878952762213684	0	0	0	0.110649900052929	0	0.010397337733387	0	0	0.580205938149825	0.977468456709161
p32	0	0.209081621724538	0.318213225734126	0	0	0.472705152541336	0	0	0	0.261661935627131	0.983496298109974
p33	0.129419562632899	0.177779324282902	0.194391448647574	0	0.118351319278072	0.372688367653017	0.0073699775055369	0	0	0.178493361348688	0.99753427082871
p34	0.0509445822506713	0.0605146027901183	0	0	0	0.881371072016553	0.00716974294265743	0	0	0.136256387184275	1.00506205526255
